0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:05:41 +0900] "GET /IdolProject/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:05:41 +0900] "GET /IdolProject/event_popup_items.do HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:05:51 +0900] "GET /IdolProject/artist_content.do?no=24 HTTP/1.1" 200 28501
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:05:51 +0900] "GET /IdolProject/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:05:51 +0900] "GET /IdolProject/event_popup_items.do HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:05:57 +0900] "GET /IdolProject/product_list.do?cno=100 HTTP/1.1" 200 72281
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:05:57 +0900] "GET /IdolProject/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:05:57 +0900] "GET /IdolProject/event_popup_items.do HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:05 +0900] "GET /IdolProject/product_list.do?cno=210 HTTP/1.1" 200 60905
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:05 +0900] "GET /IdolProject/product/RED%20VELVET%20The%20ReVe%20Festival%20Day%202%20%ED%8F%AC%EC%8A%A4%ED%84%B0main.jpg HTTP/1.1" 200 50349
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:05 +0900] "GET /IdolProject/product/Aespa%20Savage%20Hallucination%20Quest%20%ED%8F%AC%EC%8A%A4%ED%84%B0main.jpg HTTP/1.1" 200 69246
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:05 +0900] "GET /IdolProject/product/Aespa%202021%20Winter%20SMTOWN%20SMCU%20EXPRESS%20%ED%8F%AC%EC%8A%A4%ED%84%B0main.jpg HTTP/1.1" 200 40780
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:05 +0900] "GET /IdolProject/product/Aespa%202022%20%ED%8F%AC%EC%8A%A4%ED%84%B0main.jpg HTTP/1.1" 200 26616
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:05 +0900] "GET /IdolProject/product/Aespa%20%EC%95%A8%EB%B2%94%20Dreams%20Come%20Ture%20%ED%8F%AC%EC%8A%A4%ED%84%B0main.jpg HTTP/1.1" 200 42367
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:05 +0900] "GET /IdolProject/product/Aespa%20Photobook%20%EB%AF%B8%EB%8B%88%20%EC%95%A8%EB%B2%94%20%EC%95%BC%EB%A7%8C%EC%9D%B8main.jpg HTTP/1.1" 200 99879
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:05 +0900] "GET /IdolProject/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:06 +0900] "GET /IdolProject/event_popup_items.do HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:08 +0900] "GET /IdolProject/product_detail.do?pno=14 HTTP/1.1" 200 39184
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:08 +0900] "GET /IdolProject/css/product_detail.css HTTP/1.1" 200 11992
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:08 +0900] "GET /IdolProject/css/product_detail_swiper.css HTTP/1.1" 200 16935
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:08 +0900] "GET /IdolProject/js/product_detail.js HTTP/1.1" 200 11280
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:08 +0900] "GET /IdolProject/product/RED%20VELVET%20The%20ReVe%20Festival%20Day%202%20%ED%8F%AC%EC%8A%A4%ED%84%B0detail1.jpg HTTP/1.1" 200 838789
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:08 +0900] "GET /IdolProject/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:08 +0900] "GET /IdolProject/event_popup_items.do HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:15 +0900] "GET /IdolProject/community_boardList.do HTTP/1.1" 200 59573
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:15 +0900] "GET /IdolProject/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:15 +0900] "GET /IdolProject/resources/webfonts/fa-brands-400.woff2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:15 +0900] "GET /IdolProject/event_popup_items.do HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:15 +0900] "GET /IdolProject/resources/webfonts/fa-brands-400.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:17 +0900] "GET /IdolProject/event_list.do?board_id=1&category_id=1 HTTP/1.1" 200 19808
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:17 +0900] "GET /IdolProject/resources/css/event_cont.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:17 +0900] "GET /IdolProject/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:17 +0900] "GET /IdolProject/event_popup_items.do HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:18 +0900] "GET /IdolProject/whole_ranking.do HTTP/1.1" 200 27255
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:18 +0900] "GET /IdolProject/resources/upload/member_image/7/minnie.jpg HTTP/1.1" 200 101032
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:18 +0900] "GET /IdolProject/resources/upload/member_image/12/bopeep.jpg HTTP/1.1" 200 28900
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:18 +0900] "GET /IdolProject/resources/upload/member_image/5/donald.jpg HTTP/1.1" 200 26396
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:18 +0900] "GET /IdolProject/resources/upload/member_image/8/goofy.jpg HTTP/1.1" 200 38039
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:18 +0900] "GET /IdolProject/resources/upload/member_image/10/wood.jpg HTTP/1.1" 200 148500
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:18 +0900] "GET /IdolProject/resources/upload/member_image/1/jungkook-memes-3.png HTTP/1.1" 200 402928
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:06:18 +0900] "GET /IdolProject/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 721
